Original,Canonical,Changed
iran or italy,italy,True
iran or northern india,india,True
iran or present-day turkmenistan,turkmenistan,True
iran or present-day uzbekistan,uzbekistan,True
iran or syria,syria,True
iran or uzbekistan,uzbekistan,True
"iran, iraq, or egypt",egypt,True
"iran, reputedly from nishapur",iran,True
ipswich (massachusetts),ipswich,True
indonesian,indonesia,True
indische oceaan,indian ocean,True
india or nepal,india,True
ho chi minhstad,ho chi minh city,True
hof (duitsland),hof,True
hokkaido region,hokkaido,True
iberisch schiereiland,iberian peninsula,True
india (golconda or bidar),india,True
india and turkey,india,True
india or china,india,True
india or pakistan,india,True
indiaal,india,True
india or persia,india,True
india or present-day pakistan,india,True
india or sri lanka,india,True
india or turkey,india,True
india subcontinent,india,True
"india, nepal or tibet",india,True
india?,india,True
"iran, syria or turkey",syria,True
iraq or iran,iraq,True
kanaal van korinthe,corinth canal,True
iraq or northern jazira,iraq,True
jammu en kasjmir,jammu and kashmir,True
jammu-kashmir,jammu and kashmir,True
japanese,japan,True
jazira (or iran?),jazira,True
"jizreë, vlakte van",plain of jezreel,True
joegoslavië,yugoslavia,True
jordaan (rivier),jordan river,True
jordanië,jordan,True
judenburg (steiermark),judenburg,True
jura (kanton),jura,True
jâchymov,jachymov,True
jönköping (stad),jönköping,True
kaap soenion,cape sounion,True
kaapprovincie,cape province,True
kaliningrad (stad),kaliningrad,True
kalkhaven (gorinchem),kalkhaven,True
kameroen,cameroon,True
jalisco state,jalisco,True
italy?,italy,True
italy or turkey,italy,True
italiaanse rivièra,italian riviera,True
iraq or turkey,turkey,True
iraq or western iran,iraq,True
ireland or united kingdom,ireland,True
"ischia, isola d'",ischia,True
isola bella (lago maggiore),isola bella,True
isola dei pescatori (lago maggiore),isola dei pescatori,True
isola madre (lago maggiore),isola madre,True
italian,italy,True
italy or the netherlands,italy,True
italian?,italy,True
italy (north),italy,True
italy or flanders,italy,True
italy or france,italy,True
italy or germany?,italy,True
italy or present-day spain,italy,True
italy or sicily,italy,True
kraton ngayogyakarta hadiningrat,yogyakarta,True
krim,crimea,True
hesse-kassel (landgraviate) (historic region),hesse-kassel,True
midden-duitsland,central germany,True
midden-italië,central italy,True
midden-perzië,central persia,True
midden-turkestan,central turkestan,True
middleatlantic,middle atlantic,True
midi-pyrénées,midi-pyrenees,True
mississippi (rivier),mississippi river,True
modena (provincie),modena,True
modern-day afghanistan,afghanistan,True
molukken,moluccas,True
mongolia?,mongolia,True
mongolië,mongolia,True
mont-saint-michel (abdij),mont-saint-michel,True
mont-saint-michel (eiland),mont-saint-michel,True
montenegro?  yugoslavia (former),montenegro,True
montmorency (frankrijk),montmorency,True
montreuil (seine-saint-denis),montreuil,True
montréal,montreal,True
midden-europa,central europe,True
midden-amerika,central america,True
kroatië,croatia,True
middellandse zee,mediterranean sea,True
melrose (schotland),melrose,True
memphis (egypte),memphis,True
menado,manado,True
mendelpas,mendel pass,True
mentawai-eilanden,mentawai islands,True
mer-de-glace,mer de glace,True
messina (provincie),messina,True
mexico (?),mexico,True
mexico or guatemala,mexico,True
mexico?,mexico,True
michigan avenue at 24th street,michigan avenue,True
"michigan avenue, 18 south",michigan avenue,True
"michigan avenue, 1936 south",michigan avenue,True
"michigan avenue, 220 south",michigan avenue,True
"michigan avenue, 430 south",michigan avenue,True
michoacán state,michoacán,True
mid and east antrim,county antrim,True
montville (new york),montville,True
morocco or southern spain,morocco,True
moulins (ille-et-vilaine),moulins,True
moulton (lincolnshire),moulton,True
neuchâtel,neuchatel,True
neuilly sur seine,neuilly-sur-seine,True
new guinea (phillipine?),new guinea,True
new spain (mexico),mexico,True
new zealand rotorua whakarewarewa,rotorua whakarewarewa,True
new zealand?,new zealand,True
newbury (somerset),newbury,True
newcastle-upon-tyne,newcastle upon tyne,True
newport (isle of wight),newport,True
newport (rhode island),newport,True
newton (massachusetts),newton,True
niagara falls (new york),niagara falls,True
niagara falls (ontario),niagara falls,True
nicolaaskerk (vlieland),st nicholas church,True
nicolaaskerk (wijhe),st nicholas church,True
nidaros-domkerk,nidaros cathedral,True
nieuw-amsterdam (drenthe),nieuw-amsterdam,True
nestórion,nestorion,True
nes (ameland),nes,True
nederlands oost-indië,dutch east indies,True
nassau (bahama's),nassau,True
moustiers-sainte marie,moustiers-sainte-marie,True
mozambique or zimbabwe,mozambique,True
"mull, island of",mull,True
muntplein (brussel),muntplein,True
"mureaux, les",les mureaux,True
myanmar (burma),myanmar,True
napoli (province),napoli,True
nassau (eiland),nassau,True
nederlands hervormde kerk (veenhuizen),dutch reformed church,True
nassau (rijnland-palts),nassau,True
nationaal archeologisch museum,national archaeological museum,True
nationaal park jostedalsbreen,jostedalsbreen national park,True
"navajo nation, arizona, new mexico, & utah",navajo nation,True
nederduits hervormde diaconie weeshuis,dutch reformed diaconie orphanage,True
nederlands hervormde kerk,dutch reformed church,True
nederlands hervormde kerk (asperen),dutch reformed church,True
melrose (middlesex),melrose,True
mekka,mecca,True
megalópolis,megalopolis,True
libanon (land),lebanon,True
lanark (south lanarkshire),lanark,True
lancaster (lancashire),lancaster,True
lancaster (massachusetts),lancaster,True
lancaster (pennsylvania),lancaster,True
lancaster (south carolina),lancaster,True
landeck (oostenrijk),landeck,True
landkreis mansfeld-südharz,mansfeld-südharz,True
laos and thailand,laos,True
laren (gelderland),laren,True
las vegas (new mexico),las vegas,True
"lasalle street, 102-116 south",lasalle street,True
"lasalle street, 209 south",lasalle street,True
"lasalle street, 375 north",lasalle street,True
lateraans paleis,lateran palace,True
leer (duitsland),leer,True
"lefkás, nísos",lefkás,True
leicester (engeland),leicester,True
"lake van region,vaspurakan (now eastern türkiye)",lake van,True
"lake street, 128 west",lake street,True
laibach,ljubljana,True
kurramvallei,kurram valley,True
kruisstraat (hoorn),kruisstraat,True
kríti,crete,True
kuba,cuba,True
kullu-vallei,kullu valley,True
kunstgewerbemuseum (berlijn),berlin,True
kurhaus (scheveningen),scheveningen,True
kurodani tempel,kurodani temple,True
kéa,kea,True
lago maggiore,lake maggiore,True
l'aquila (stad),l'aquila,True
la merveille du mont saint-michel,mont saint-michel,True
la mezquita (cordoba),cordoba,True
la seo kathedraal,la seo cathedral,True
la tène ii,la tène,True
lago di garda,lake garda,True
lago di lugano,lake lugano,True
letland,latvia,True
liberia-côte d'ivoire (ivory coast) border,liberia-ivory coast border,True
meer van misurina,lake misurina,True
"liechtenstein, germany",liechtenstein,True
madison (wisconsin),madison,True
"madison street, 1214-1222 west",madison street,True
"madison street, 29 east",madison street,True
"madison street, 78-84 west",madison street,True
malawi or tanzania,malawi,True
malaysia (borneo),borneo,True
"mali, guinea, guinea-bissau or the senegambia",mali,True
mantsjoerije,manchuria,True
markt (mainz),markt,True
marne (rivier),marne river,True
mechelen (aartsbisdom),mechelen,True
mecklenburg-voor-pommeren,mecklenburg-western pomerania,True
medina van tunis,medina of tunis,True
medinet haboe,medinet habu,True
meer van albano (lazio),lake albano,True
meer van genève,lake geneva,True
meer van lugano,lake lugano,True
madagaskar,madagascar,True
madagascar?,madagascar,True
macao,macau,True
loreley (berg),loreley,True
limburg (belgische provincie),limburg,True
limburg (nederlandse provincie),limburg,True
lindau im bodensee,lindau,True
lindengracht (dordrecht),lindengracht,True
littleton (new hampshire),littleton,True
loenen (gelderland),loenen,True
lombardije,lombardy,True
los angeles (county),los angeles,True
lévis,levis,True
ludwigshafen am rhein,ludwigshafen,True
"lugano, meer van",lake lugano,True
lustgarten (berlijn),lustgarten,True
lutherse kerk (den haag),the hague,True
luzern (kanton),lucerne,True
lárisa,larissa,True
lésvos,lesvos,True
hizen (former province),hizen,True
herengracht (amsterdam),amsterdam,True
nieuwstraat (dordrecht),nieuwstraat,True
city of london,london,True
clarens (zuid-afrika),clarens,True
clarens (zwitserland),clarens,True
cleveland (ohio),cleveland,True
cleves-guelders,cleves,True
clifton (bristol),clifton,True
cnidus nova,cnidus,True
coastal ecuador,ecuador,True
colombia (?),colombia,True
colombia or costa rica,colombia,True
colombia or panama,colombia,True
colombia or venezuela,colombia,True
colombia?,colombia,True
columbia (pennsylvania),columbia,True
comomeer,lake como,True
comunidad de madrid,madrid,True
concord (massachusetts),concord,True
coney island (new york),coney island,True
clacton on sea,clacton-on-sea,True
châtillon (hauts-de-seine),châtillon,True
dominican republic (?),dominican republic,True
châtellerault,chatellerault,True
central park (new york),central park,True
ceribon,cirebon,True
ceylon,sri lanka,True
chaironeia,chaeronea,True
charkov,kharkiv,True
chartreuzer gebergte,chartreuse mountains,True
chiang mai province,chiang mai,True
chiengmai,chiang mai,True
chihuahua (stad),chihuahua,True
china or japan,china,True
china or korea,china,True
china or mongolia,china,True
china or present-day uzbekistan,china,True
china?,china,True
chresjtsjatyk,khreshchatyk,True
châlon-sur-saône,chalon-sur-saône,True
château de villette	**,château de villette,True
congo?,congo,True
costa rica (?),costa rica,True
costa rica or nicaragua,costa rica,True
costa rica?,costa rica,True
democratic republic of the congo?,democratic republic of congo,True
den burg (texel),den burg,True
den hoorn (texel),den hoorn,True
detmold (district),detmold,True
detmold (stad),detmold,True
devon (schotland),devon,True
diwan-i-khas (delhi),diwan-i-khas,True
dom (milaan),milan,True
dom (orvieto),orvieto,True
dom (pisa),pisa,True
dom (siena),siena,True
dom van florence,florence,True
dom van hildesheim,hildesheim,True
dom van keulen,cologne,True
dom van mainz,mainz,True
dom van trier,trier,True
dom van utrecht,utrecht,True
democratic republic of the congo or angola,democratic republic of congo,True
delden (gelderland),delden,True
dedham (engeland),dedham,True
côte d'ivoire or ghana,côte d'ivoire,True
county kildare,kildare,True
county of holland,holland,True
"courtille, la",la courtille,True
cowley (oxfordshire),cowley,True
crete ?,crete,True
croatia (former yugoslavia),croatia,True
czech republic (bohemia),bohemia,True
dachstein (bas-rhin),bas-rhin,True
"dearborn street, 30-32 north",dearborn street,True
dachstein (salzburg),salzburg,True
dalmatië,dalmatia,True
dam (zaandam),zaandam,True
danemark,denmark,True
"dayton, ohio",dayton,True
"dearborn street, 140 south",dearborn street,True
"dearborn street, 159-169 north",dearborn street,True
central or west mexico,central mexico,True
central or southern italian,central italy,True
central or southern india or sri lanka,southern india,True
burgerweeshuis (amsterdam),burgerweeshuis,True
brasil,brazil,True
brazil?,brazil,True
bremen (deelstaat),bremen,True
brennerpas,brennero pass,True
brescia province,brescia,True
brest (wit-rusland),brest,True
bretagne,brittany,True
brienzersee,lake brienz,True
brighton (brighton and hove),brighton,True
brisbane (australië),brisbane,True
brits-columbia,british columbia,True
brits-indië,british india,True
brunswick (maine),brunswick,True
buffalo (new york),buffalo,True
bulgaria (possibly),bulgaria,True
bulgaria or romania,bulgaria,True
bulgaria or switzerland,bulgaria,True
bradford (pennsylvania),bradford,True
boven-suriname,upper suriname,True
boven-rijn,upper rhine,True
bolivia or peru,bolivia,True
blankenburg (harz),blankenburg,True
bodenmeer,lake constance,True
boeda,banda aceh,True
boekarest,bucharest,True
boheems zwitserland,bohemian switzerland,True
bohemia (hungary),bohemia,True
bolivia (?),bolivia,True
bolton (manchester),bolton,True
bourgondië,burgundy,True
boog van drusus,arch of drusus,True
born (nederland),born,True
borneo or china?,borneo,True
bornholm (eiland),bornholm,True
borromeïsche eilanden,borromean islands,True
bos van fontainebleau,fontainebleau forest,True
botermarkt (amsterdam),botermarkt,True
burg (noordrijn-westfalen),burg,True
burkina faso (formerly upper volta),burkina faso,True
central or northern iran,northern iran,True
"bute, kyles of",kyles of bute,True
catalonië,catalonia,True
cattaro,kotor,True
caucasia,caucasus,True
caucasus or russia,caucasus,True
caucasus region,caucasus,True
caïro (provincie),cairo,True
cañón city,cañon city,True
centraal-azië,central asia,True
centraal-india,central india,True
centraal-klein-azië,central anatolia,True
centraal-molukken,central moluccas,True
central anatolian region,central anatolia,True
central asia or iran,central asia,True
central côte d'ivoire,central ivory coast,True
central india or rajasthan,central india,True
central india or sri lanka,central india,True
central or eastern europe,central europe,True
catacomben van pontianus,catacombs of pontianus,True
catacomben van parijs,catacombs of paris,True
carthago,carthage,True
campeche state,campeche,True
buttermere (cumbria),buttermere,True
byzantium or spain,byzantium,True
"cabinda, angola",cabinda,True
cairo and yemen,cairo,True
cambodja,cambodia,True
cambridge (maryland),cambridge,True
cameroon?,cameroon,True
campo santo (genua),genoa,True
cartagena (colombia),cartagena,True
campo santo (pisa),pisa,True
canada or united states,canada,True
canada: n.a.,canada,True
canarische eilanden,canary islands,True
capitool (washington d.c),washington d.c.,True
caraïben,caribbean,True
carpathian basin region,carpathian basin,True
dom van worms,worms,True
dorchester (dorset),dorchester,True
haïti,haiti,True
germany or france,germany,True
germany or france?,germany,True
germany or italy?,germany,True
germany or netherlands,germany,True
germany or poland,germany,True
germany or south germany,germany,True
germany or switzerland,germany,True
germany or the netherlands,germany,True
"germany, 22 august 1485",germany,True
"germany, france, or bohemia",germany,True
"germany, possibly mainz",germany,True
germany/saxony,germany,True
gerona (stad),gerona,True
ghana or nigeria,ghana,True
ghana?,ghana,True
glarus (kanton),glarus,True
glarus (stad),glarus,True
gloucester (gloucestershire),gloucester,True
germany or france or switzerland,germany,True
germany or england,germany,True
dorchester (massachusetts),dorchester,True
germany or austria,germany,True
gardner (massachusetts),gardner,True
gasthuisstraat (gorinchem),gasthuisstraat,True
gattières,gattieres,True
gaul (france),gaul,True
gemany,germany,True
genève (kanton),geneva,True
georgetown (colorado),georgetown,True
"georgia, republic of  [azerbaijan, armenia]",georgia,True
german,germany,True
germany (?),germany,True
germany (now switzerland),switzerland,True
germany (present day france),france,True
germany (present-day france),france,True
germany (probably),germany,True
germany and italy,germany,True
germany and spain,germany,True
germany of france or switzerland,germany,True
gondomar (spanje),gondomar,True
"gooi, het",het gooi,True
gotthardpas,gotthard pass,True
goudkust,gold coast,True
gulik (dorp),gulik,True
göritz (oostenrijk),göritz,True
haarlem (bisdom),haarlem,True
hainaut province,hainaut,True
hamburg (deelstaat),hamburg,True
hamilton (bermuda),hamilton,True
hamilton (ohio),hamilton,True
hampton (richmond upon thames),hampton,True
hannoversch-münden,hannover,True
haren (brussel),brussels,True
haren (groningen),haren,True
haringvliet (zuid-holland),haringvliet,True
harrow school,harrow,True
harvard universiteit,cambridge,True
hasle bei burgdorf,hasle,True
hasselt (belgisch-limburg),hasselt,True
hautes-pyrénées,hautes-pyrenees,True
guerrero state,guerrero,True
guatemala or el salvador,guatemala,True
guanajuato state,guanajuato,True
grote kerk (goes),grote kerk,True
grande chartreuse (isère),grande chartreuse,True
granville (ohio),granville,True
greece or the balkans (possibly),greece or the balkans,True
grieks theater (syracuse),grieks theater,True
grote kerk (breda),grote kerk,True
grote kerk (den haag),grote kerk,True
grote kerk (drachten),grote kerk,True
grote kerk (gorinchem),grote kerk,True
grudzia̜dz,grudziadz,True
grote kerk (vianen),grote kerk,True
grote markt (brussel),grote markt,True
grote markt (haarlem),grote markt,True
grote markt (nijmegen),grote markt,True
grote oceaan,great ocean,True
grote of sint-laurenskerk (rotterdam),grote of sint-laurenskerk,True
grotemarkt (rotterdam),grotemarkt,True
ganges (occitanie),ganges,True
gabon?,gabon,True
füssen,fussen,True
"egypt, bulgaria or turkey?",egypt,True
eastern iran or khurasan,iran or khurasan,True
eastern iran or present-day afghanistan,iran or afghanistan,True
eastern islamic lands,islamic lands,True
eastern java,java,True
eastern massachusetts,massachusetts,True
eastern netherlands,netherlands,True
eastern syria,syria,True
eastern tibet,tibet,True
ebenau (pruisen),ebenau,True
ecuador (?),ecuador,True
egypt (british repro),egypt,True
egypt (cairo) or syria,cairo or syria,True
egypt (or italy or turkey),egypt or italy or turkey,True
egypt or nubia (sudan),egypt or nubia,True
egypt or syria (?),egypt or syria,True
egypt or turkey,egypt,True
egypt possibly,egypt,True
eastern iran or afghanistan,iran or afghanistan,True
eastern iran,iran,True
eastern india,india,True
dutoitspan-mijn,dutoitspan mine,True
dorpskerk (abcoude),abcoude,True
dover (engeland),dover,True
drommedaris (enkhuizen),enkhuizen,True
duinkerke,dunkirk,True
duomo di torino,turin,True
durham (graafschap),durham,True
durham (stad),durham,True
dôle,dole,True
eastern europe,europe,True
dôme des invalides,dome of the invalides,True
dôme du goûter,dome du goûter,True
dārjiling,darjeeling,True
east cambridge,cambridge,True
east germany,germany,True
eastbourne (vk),eastbourne,True
eastern asia,asia,True
egypt possibly (modern),egypt,True
"egypt, iran or syria",egypt,True
fürth,furth,True
"egypt, iraq or syria",egypt,True
felsenmeer (hessen),felsenmeer,True
ferrara (stad),ferrara,True
flemish,belgium,True
florida (verenigde staten van amerika),florida,True
former yugoslavia(?),former yugoslavia,True
fort-national (algerije),fort-national,True
forum van trajanus,forum of trajan,True
france (?),france,True
"france (lid)/european (lower elements, hardware)",france,True
france (probably),france,True
frans guyana,french guiana,True
frans-guyana,french guiana,True
frauenkirche (neurenberg),frauenkirche,True
french,france,True
fribourg (kanton),fribourg,True
fréjus,frejus,True
fécamp,fecamp,True
farmington (maine),farmington,True
farallon-eilanden,farallon islands,True
evenaar,equator,True
england or flanders,england,True
egypt?,egypt,True
el paso (texas),el paso,True
el salvador or guatemala,el salvador,True
elm (cambridgeshire),elm,True
england (?),england,True
england (possibly),england,True
england and germany,england,True
england or germany,england,True
european,europe,True
england or scandinavia,england,True
"england, by french woodworkers",england,True
england?,england,True
english,england,True
erfurt (stad),erfurt,True
ethiopië,ethiopia,True
europe (?),europe,True
nieuwe kerk (delft),nieuwe kerk,True
nieuwstraat (hoorn),nieuwstraat,True
birkenhead (merseyside),birkenhead,True
southern tibet,tibet,True
southern veracruz,veracruz,True
southwest iran,iran,True
southwestern france,france,True
southwestern iran,iran,True
sovjet-unie,soviet union,True
spain (lid),spain,True
spain and italy,spain,True
spain or england,spain,True
spain or france,spain,True
spain or italy,spain,True
"spain or limoges, france",spain,True
spain or north africa,spain,True
spain or yugoslavia,spain,True
spain(?),spain,True
"spain, europe",spain,True
spain?,spain,True
sporádhes department,sporades department,True
southern turkey,turkey,True
southern russia or black sea region (?),russia,True
tegal (regentschap),tegal,True
southern netherlands (woven),netherlands,True
south italy,italy,True
south morocco,morocco,True
south netherland,netherlands,True
south netherlandish,netherlands,True
"south, india",india,True
south-central mali,mali,True
southeast nigeria,nigeria,True
southeastern democratic republic of congo,democratic republic of congo,True
southern england,england,True
southern europe,europe,True
southern france,france,True
southern germany or switzerland,germany,True
southern illinois,illinois,True
southern india,india,True
southern italy,italy,True
"southern italy, possibly sicily",italy,True
"southern mexico, guatemala, honduras, or belize",mexico,True
springfield (ohio),springfield,True
spui (den haag),spui,True
stadhuis (antwerpen),antwerp,True
stadhuis (bergen op zoom),bergen op zoom,True
switzerland or france,switzerland,True
switzerland or germany,switzerland,True
switzerland?,switzerland,True
syracuse (provincie),syracuse,True
syria (?),syria,True
syria or egypt,syria,True
syria or iran,syria,True
syria or iraq,syria,True
syria or north africa,syria,True
syria?,syria,True
syria?  saudia arabia,syria,True
sámos,samos,True
sápmi,sapmi,True
são paulo (stad),sao paulo,True
sète,sete,True
tanágra,tanagra,True
tarbet (argyll and bute),tarbert,True
sutton (greater london),sutton,True
sunderland (massachusetts),sunderland,True
"sulawesi, indonesia",sulawesi,True
stadhuis van kortrijk,kortrijk,True
stadhuis (brugge),brugge,True
stadhuis (doesburg),doesburg,True
stadhuis (enkhuizen),enkhuizen,True
stadhuis (nijmegen),nijmegen,True
stadhuis (parijs),paris,True
stadhuis van bremen,bremen,True
stadhuis van culemborg,culemborg,True
stadhuis van manchester,manchester,True
suffolk (graafschap),suffolk,True
stadhuis van oudenaarde,oudenaarde,True
stadhuis van san gimignano,san gimignano,True
steiermark,styria,True
stockholm (provincie),stockholm,True
stockton (engeland),stockton,True
straat van taiwan,taiwan strait,True
sudan?,sudan,True
south france,france,True
south central veracruz,veracruz,True
south central france,france,True
schotse hooglanden,scottish highlands,True
san clemente (rome),san clemente,True
san ildefonso o la granja,san ildefonso,True
sankt nikolaikirche (hamburg),sankt nikolaikirche,True
sant'eufemia vecchia di lamezia terme,lamezia terme,True
santa cruz (californië),santa cruz,True
santa maria maggiore (rome),santa maria maggiore,True
santa rosa (californië),santa rosa,True
santarém (provincie),santarém,True
santiago de chile,santiago,True
saudi arabia or oman,saudi arabia,True
saugus (essex),saugus,True
saugus (los angeles),saugus,True
scandinavia (possibly sweden),scandinavia,True
scarborough (north yorkshire),scarborough,True
schaffhausen (kanton),schaffhausen,True
schloss heidelberg,heidelberg,True
schloss spetzgart,spetzgart,True
samarang,semarang,True
"salève, mont",mont salève,True
salzburg (provincie),salzburg,True
saint mary's church (west walton),saint mary's church,True
ródhos,rhodes,True
rüdesheim am rhein,rüdesheim,True
"s. mali, e. guinea or nw. cote d’ivoire",mali,True
s.s. rotterdam,rotterdam,True
saint lawrence's church (north hinksey),saint lawrence's church,True
saint mary's church (long sutton),saint mary's church,True
saint mary's church (staindrop),saint mary's church,True
saint peter's church (walpole),saint peter's church,True
salomonseilanden,solomon islands,True
saint-denisbasiliek,saint-denis,True
saint-pierre (atlantische oceaan),saint-pierre,True
saint-trophime (arles),saint-trophime,True
sainte-chapelle (parijs),sainte-chapelle,True
sala di costantino (palazzo vaticano),sala di costantino,True
salem (massachusetts),salem,True
salerno (province),salerno,True
schloßplatz (berlijn),schloßplatz,True
schwyz (kanton),schwyz,True
sothern turkmenistan,turkmenistan,True
scotland or england,scotland,True
sint-joriskerk (amersfoort),amersfoort,True
sint-laurentiuskerk (neurenberg),neurenberg,True
sint-leonarduskerk (zoutleeuw),zoutleeuw,True
sint-maartenskerk (ieper),ieper,True
sint-maartenskerk (kortrijk),kortrijk,True
sint-nicolaaskerk (kalkar),kalkar,True
sint-niklaaskerk (diksmuide),diksmuide,True
sint-petruskerk (caen),caen,True
sint-pieterskerk (leuven),leuven,True
skåne (provincie),skåne,True
slapershaven (hoorn),hoorn,True
sleeswijk-holstein,schleswig-holstein,True
slotkapel (egmond-aan-den-hoef),egmond-aan-den-hoef,True
soest (duitsland),soest,True
soest (utrecht),soest,True
solothurn (kanton),solothurn,True
somerville (middlesex),somerville,True
sint-jacobskerk (leuven),leuven,True
sint-jacobskerk (antwerpen),antwerpen,True
sint-gertrudiskerk (bergen op zoom),bergen op zoom,True
sicilië,sicily,True
seebach (baden-württemberg),seebach,True
seebach (bas-rhin),seebach,True
selinunte (sicilië),selinunte,True
serooskerke (schouwen-duiveland),serooskerke,True
siberië,siberia,True
sibiu (stad),sibiu,True
"sibolga, teluk",sibolga,True
sicily or italy,sicily,True
sint-catharinakerk (braunschweig),braunschweig,True
sierra leone?,sierra leone,True
sierra nevada (noord- en centraal amerika),sierra nevada,True
sikión,sikon,True
silezië,silesia,True
sinaï,sinai,True
sint-andreaskerk (pistoia),pistoia,True
sint-bavokerk (haarlem),haarlem,True
tasmanië,tasmania,True
tegal (stad),tegal,True
rustenburg (noord-holland),rustenburg,True
weston (lincolnshire),weston,True
whitby (yorkshire),whitby,True
wien state,vienna,True
willemsoord (den helder),willemsoord,True
willemstad (noord-brabant),willemstad,True
"willey, mount",mount willey,True
"witte huis, het (washington d.c)",white house,True
worcester (massachusetts),worcester,True
wyoming (melrose),wyoming,True
yukon (canada),yukon,True
yukon (oklahoma),yukon,True
zaragoza (provincie),zaragoza,True
zeeland (stad),zeeland,True
zeeroute amsterdam - batavia,amsterdam,True
zeeroute batavia - amsterdam,batavia,True
zeeroute tussen kaap de goede hoop en batavia,kaap de goede hoop,True
zeughaus (berlijn),berlin,True
zuid-amerika,south america,True
weston (middlesex),weston,True
westelijke jordaanoever,west bank,True
teheran,tehran,True
west-kaap,western cape,True
wachau (oostenrijk),wachau,True
wallonië,wallonia,True
waltham (lincolnshire),waltham,True
waren (müritz),waren,True
warschau,warsaw,True
"washington street, 59 west",washington street,True
"washington, mount",mount washington,True
waterlooplein (batavia),batavia,True
watertown (massachusetts),watertown,True
waterville (maine),waterville,True
weissenburg (bas-rhin),weissenburg,True
west zaandam,zaandam,True
west-afrika,west africa,True
west-bengalen,west bengal,True
west-duitsland,western germany,True
west-graftdijk,graftdijk,True
west-indië,west indies,True
zuid-bohemen,south bohemia,True
zuid-china,south china,True
zuid-europa,southern europe,True
zuid-india,south india,True
écoyeux,ecoyeux,True
église saint-augustin,saint-augustin,True
église saint-sulpice,saint-sulpice,True
église saint-étienne-du-mont,saint-etienne-du-mont,True
épernay,epernay,True
éponne,eponne,True
étampes,etampes,True
étaules,etaules,True
étretat,etretat,True
évian-les-bains,evian-les-bains,True
évora,evora,True
